W	L	FG3M/GP	FG3A/GP	Possessions/GP	eFG%	TOV%	ORB%	FTR
36	46	13.71951219512195	37.707317073170735	116.25170731707317	0.5394910337552743	0.11644203494519882	0.27955227955227957	0.2513185654008439
64	18	16.475609756097562	42.46341463414634	111.00926829268293	0.5782179556517036	0.10754979808321871	0.23058699657804685	0.22363439697133586
32	50	13.28048780487805	36.707317073170735	111.41268292682928	0.5307923908580813	0.11777789453405489	0.2596180459451979	0.2341590255918982
21	61	12.060975609756097	34.0	108.86926829268292	0.5293004345997476	0.12646629208448712	0.23160762942779292	0.21197252208047104
39	43	11.475609756097562	32.073170731707314	111.03219512195122	0.5339283281100967	0.11027344299170534	0.25494016142499304	0.23586319662079303
48	34	13.512195121951219	36.78048780487805	109.6980487804878	0.5566592053721321	0.12362093729572529	0.2276056338028169	0.2337716843872412
50	32	14.597560975609756	39.53658536585366	112.06682926829268	0.562227965179543	0.11175822788667042	0.22635614882135757	0.250544069640914
57	25	11.682926829268293	31.21951219512195	110.13804878048781	0.5617529880478087	0.11471191365160353	0.24183365358221245	0.22365709575491138
14	68	11.048780487804878	31.73170731707317	113.01463414634148	0.5259812050856827	0.13466850828729282	0.2423304249929637	0.24599226091763404
46	36	14.768292682926829	38.91463414634146	114.7848780487805	0.5572188955422488	0.12472961085211359	0.2600522193211488	0.2187624750499002
41	41	12.71951219512195	36.146341463414636	113.98829268292684	0.529092371631586	0.11180009928276759	0.25221357660316607	0.2568708942217455
47	35	13.195121951219512	35.25609756097561	114.62682926829268	0.5784971706803527	0.11266676596378493	0.24287812041116005	0.22173970259244638
51	31	12.634146341463415	33.15853658536585	109.5790243902439	0.5614800225098481	0.11997133152597302	0.23332387170025545	0.2556274620146314
47	35	11.817073170731707	31.365853658536587	112.14048780487805	0.5663229761738888	0.1246259047884187	0.19123055162659122	0.27629928939668386
27	55	13.060975609756097	37.76829268292683	112.47170731707317	0.509129893484576	0.13401744395338447	0.2564396107613051	0.238207220915756
46	36	12.463414634146341	33.71951219512195	107.98341463414633	0.5378809455995442	0.11722667437637217	0.22087658592848905	0.25719168328111647
49	33	14.182926829268293	38.073170731707314	111.94390243902438	0.5675806007164508	0.11536701745212107	0.2131419105466593	0.2700468448608432
56	26	12.646341463414634	32.69512195121951	109.31268292682927	0.5594350444508174	0.12963483584793678	0.21526418786692758	0.2697160883280757
49	33	12.475609756097562	32.59756097560975	110.44048780487803	0.5576413119330077	0.11782087693184279	0.23633841886269072	0.2614096301465457
50	32	13.207317073170731	35.80487804878049	111.51414634146342	0.5399477447744775	0.11865496666724992	0.2805075593952484	0.24601210121012101
57	25	13.292682926829269	34.207317073170735	111.42634146341463	0.573184052430366	0.11371397051097959	0.20945749927473165	0.24016930638995085
47	35	11.012195121951219	31.317073170731707	110.37658536585367	0.5412837449741528	0.13324671192193466	0.24819832804842895	0.2874784606547961
47	35	12.097560975609756	33.329268292682926	111.77999999999999	0.5319874505524486	0.10735373054213634	0.2572402044293015	0.26381121265857316
49	33	12.439024390243903	32.573170731707314	111.30000000000001	0.5651989239699844	0.13378476102820328	0.22993912562257887	0.2711312473453207
21	61	11.451219512195122	33.207317073170735	113.95365853658538	0.5025149537792278	0.13366580338605766	0.2955777460770328	0.22838499184339314
46	36	14.365853658536585	39.25609756097561	113.23658536585366	0.5556002682763246	0.11609623710340966	0.2461879678403105	0.22937625754527163
22	60	12.634146341463415	36.3780487804878	114.6131707317073	0.5320064550833782	0.13215184054954737	0.23407775020678245	0.2201452393760086
25	57	11.487804878048781	33.073170731707314	113.20341463414634	0.5352093529091898	0.12356345365777986	0.25471698113207547	0.24089178901576944
31	51	12.926829268292684	36.5	115.50390243902439	0.5390042056708724	0.13567274677658447	0.26884894016635363	0.25139058472391806
15	67	12.378048780487806	35.548780487804876	114.2570731707317	0.5379020419057787	0.1224239733250223	0.2241686460807601	0.22113973041505405
