POSITION	Restricted Area-FGM	Restricted Area-FGA	Restricted Area-PCT_AST_FGM	In The Paint (Non-RA)-FGM	In The Paint (Non-RA)-FGA	In The Paint (Non-RA)-PCT_AST_FGM	Mid-Range-FGM	Mid-Range-FGA	Mid-Range-PCT_AST_FGM	Left Corner 3-FGM	Left Corner 3-FGA	Left Corner 3-PCT_AST_FGM	Right Corner 3-FGM	Right Corner 3-FGA	Right Corner 3-PCT_AST_FGM	Above the Break 3-FGM	Above the Break 3-FGA	Above the Break 3-PCT_AST_FGM
Center	335.0	477.0	0.537	330.0	535.0	0.612	74.0	168.0	0.554	2.0	5.0	1.0	0.0	3.0	0.0	81.0	215.0	0.802
Forward	661.0	853.0	0.517	81.0	218.0	0.469	61.0	174.0	0.475	0.0	3.0	0.0	0.0	0.0	0.0	34.0	120.0	0.5
Forward-Guard	202.0	266.0	0.277	185.0	338.0	0.141	133.0	304.0	0.075	4.0	15.0	0.75	3.0	11.0	1.0	277.0	713.0	0.285
Guard	108.0	169.0	0.361	109.0	217.0	0.394	76.0	183.0	0.461	22.0	42.0	0.864	20.0	36.0	0.8	315.0	796.0	0.581
Forward	401.0	547.0	0.491	81.0	194.0	0.272	54.0	165.0	0.259	7.0	21.0	0.857	13.0	23.0	0.615	129.0	318.0	0.682
Forward	168.0	217.0	0.625	164.0	327.0	0.457	251.0	485.0	0.47	17.0	34.0	0.941	15.0	34.0	1.0	136.0	339.0	0.779
Center-Forward	172.0	246.0	0.581	101.0	211.0	0.545	123.0	255.0	0.455	2.0	4.0	1.0	2.0	3.0	1.0	50.0	130.0	0.82
Forward-Guard	283.0	398.0	0.392	68.0	182.0	0.294	92.0	237.0	0.293	7.0	22.0	0.571	7.0	20.0	0.714	215.0	567.0	0.474
Forward-Center	434.0	576.0	0.668	164.0	379.0	0.695	86.0	221.0	0.628	3.0	17.0	1.0	0.0	1.0	0.0	26.0	89.0	0.962
Forward	179.0	280.0	0.536	107.0	225.0	0.355	50.0	143.0	0.36	14.0	33.0	1.0	19.0	40.0	0.737	27.0	72.0	0.741
Guard	154.0	222.0	0.468	152.0	287.0	0.296	184.0	378.0	0.359	12.0	28.0	1.0	6.0	8.0	1.0	134.0	382.0	0.56
Guard	189.0	315.0	0.201	59.0	161.0	0.22	73.0	179.0	0.164	5.0	21.0	0.6	6.0	16.0	0.667	209.0	578.0	0.502
Guard	140.0	205.0	0.357	84.0	160.0	0.31	81.0	148.0	0.247	4.0	14.0	1.0	11.0	33.0	0.909	180.0	484.0	0.433
Guard	312.0	451.0	0.266	223.0	431.0	0.206	166.0	336.0	0.163	8.0	13.0	0.625	1.0	4.0	1.0	86.0	252.0	0.337
Forward-Center	200.0	339.0	0.495	188.0	429.0	0.495	11.0	27.0	0.364	6.0	31.0	1.0	12.0	26.0	0.917	99.0	301.0	0.929
Guard	175.0	262.0	0.234	249.0	486.0	0.157	82.0	221.0	0.244	25.0	52.0	0.88	10.0	31.0	0.8	179.0	496.0	0.581
Center-Forward	213.0	313.0	0.615	237.0	473.0	0.536	65.0	189.0	0.569	0.0	1.0	0.0	3.0	6.0	1.0	12.0	35.0	1.0
